Japanese,Romaji,Kana,English
情報共有,jouhou kyouyuu,じょうほうきょうゆう,information sharing
定例会,teireikai,ていれいかい,regular meeting
お話させていただきます,ohanashi sasete itadakimasu,おはなしさせていただきます,will explain (polite)
QRコード,QR koodo,きゅーあーるこーど,QR code
張り,hari,はり,posting/attaching
完了,kanryou,かんりょう,completion
昼休憩,hiru kyuukei,ひるきゅうけい,lunch break
交代,koutai,こうたい,shift change
狙って,neratte,ねらって,targeting/aiming for
動作確認,dousa kakunin,どうさかくにん,operation check
動作検証,dousa kenshou,どうさけんしょう,operation verification
出勤,shukkin,しゅっきん,going to work
予定,yotei,よてい,plan/schedule
工事届,kouji todoke,こうじとどけ,work/construction notification
回覧,kairan,かいらん,circulating document
回覧中,kairanchuu,かいらんちゅう,current circulating for approval
よろしくお願い致します,yoroshiku onegai itashimasu,よろしくおねがいいたします,thank you for your cooperation
不良点,furyouten,ふりょうてん,problem/defects/bugs points
不足点,fusokuten,ふそくてん,missing points
洗い出す,araidasu,あらいだす,find out/list out/ identify
渡す,watasu,わたす,hand over/give/provide
統合,tougou,とうごう,integrate/combine/merge
実績,jisseki,じっせき,actutal results/track records/achievement
実機,jikki,じっき,actual machine/device/real hardware
実施,jisshi,じっし,actually perform something that was planned
複雑,fukuzatsu,ふくざつ,complicated/complex
基礎教育,kisokyouiku,きそきょういく,basic education
目次,mokuji,もくじ,table of contents
中途採用サイト,chuutousaitor,ちゅうとうさいと,mid-career
無償ソフト,mushousofuto,むしょうソフト,free-software
有償ソフト,yuushousofuto,ゆうしょうソフトpaid-software
推薦状,suisenjou,すいせんじょう,recommendation letter
